Numero de Hilos;Ticks;Resultado
1;90000;6055.11
2;90000;6055.11
3;50000;6055.11
4;110000;6055.11
5;130000;6055.11
6;90000;6055.11
7;70000;6055.11
8;120000;6055.11
9;130000;6055.11
10;120000;6055.11
11;100000;6055.11
12;110000;6055.11
13;100000;6055.11
14;120000;6055.11
15;110000;6055.11
16;110000;6055.11
17;110000;6055.11
18;120000;6055.11
19;110000;6055.11
20;120000;6055.11
21;110000;6055.11
22;110000;6055.11
23;120000;6055.11
24;120000;6055.11
25;120000;6055.11
26;110000;6055.11
27;130000;6055.11
28;130000;6055.11
29;120000;6055.11
30;120000;6055.11
31;120000;6055.11
32;120000;6055.11
33;130000;6055.11
34;120000;6055.11
35;120000;6055.11
36;130000;6055.11
37;130000;6055.11
38;140000;6055.11
39;120000;6055.11
40;130000;6055.11
41;130000;6055.11
42;140000;6055.11
43;120000;6055.11
44;130000;6055.11
45;120000;6055.11
46;120000;6055.11
47;130000;6055.11
48;130000;6055.11
49;130000;6055.11
50;130000;6055.11
